STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
Florida,236504760.0,4.5,254900,57300,414500,170500,1101100,400,100,0,0,16136500,351800,96100,2023,41896.0,197293.0,239188.0
Florida,236504760.0,4.5,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200,2022,40044.1383,187713.0,227757.0
Georgia,106142760.0,4.5,15900,7000,97100,0,852500,23400,0,0,0,7500000,230100,104100,2018,32848.529615385,98607.003159965,131455.53277535
Georgia,106142760.0,4.5,19000,8400,101800,0,890400,22000,0,0,0,7552700,237500,101800,2019,31809.861678575,101317.79654395,133127.658222525
Georgia,106142760.0,4.5,23500,9400,109000,0,919400,21000,0,0,0,7665100,252800,97600,2020,28983.82553,86983.00107,115966.8266
Georgia,106142760.0,4.5,34000,13600,128200,70200,745200,700,300,0,0,8123100,203200,81200,2021,30240.90849,90444.31557,120685.22407
Georgia,106142760.0,4.5,92400,22700,175300,92500,719400,300,200,0,0,8256400,206300,76900,2023,31939.0,94401.0,126339.0
Georgia,106142760.0,4.5,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500,2022,43544.88249,85326.0,128871.0
Hawaii,15469720.0,4.5,6600,2400,24800,0,52100,1100,0,0,0,969000,17800,6900,2018,1845.203164785,9041.564582,10886.767746785
Hawaii,15469720.0,4.5,8800,2900,25800,0,55600,1000,0,0,0,970900,17900,6800,2019,1876.6682393,9147.336662165,11024.004901465
Hawaii,15469720.0,4.5,10700,3200,26400,0,52700,900,0,100,0,948300,18000,6000,2020,1466.72735,7318.63919,8785.36654
Hawaii,15469720.0,4.5,14200,4500,28800,2800,42200,100,0,0,0,968200,15700,4300,2021,1735.76462,8236.19912,9971.96374
Hawaii,15469720.0,4.5,25600,7300,36400,3400,37300,0,0,0,0,951000,15400,3700,2023,1839.0,8597.0,10435.0
Hawaii,15469720.0,4.5,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000,2022,1823.60249,8465.0,10289.0
Iowa,32942510.0,4.5,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800,2018,19716.88967503,13565.51036419,33282.40003922
Iowa,32942510.0,4.5,1600,2400,33100,0,448900,10200,0,0,0,2397900,120300,71000,2019,19956.167067785,13580.85197046,33537.019038245
Iowa,32942510.0,4.5,2300,2600,36400,0,459900,9500,0,0,0,2402200,125300,69100,2020,17877.28083,11874.21591,29751.49674
Iowa,32942510.0,4.5,3700,3600,42500,31100,343600,300,0,0,0,2525400,100900,59600,2021,19953.53562,13085.74202,33039.27764
Iowa,32942510.0,4.5,9000,6100,57200,41700,331300,100,0,0,0,2545400,105000,57500,2023,20106.0,13148.0,33254.0
Iowa,32942510.0,4.5,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200,2022,19747.49338,12965.0,32712.0
Idaho,18326350.0,4.5,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300,2018,10180.3475607,7528.798213299999,17709.145773999997
Idaho,18326350.0,4.5,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500,2019,10109.09945985,7948.56211615,18057.661576
Idaho,18326350.0,4.5,2300,1700,24900,0,156300,9900,0,0,0,1480700,155700,26900,2020,10017.65165,7388.76597,17406.41762
Idaho,18326350.0,4.5,3500,2500,30400,33400,132500,300,100,0,0,1545500,133500,29400,2021,11224.62315,8083.54693,19308.17008
Idaho,18326350.0,4.5,8500,4600,43700,45900,132900,100,100,0,0,1568600,138600,31600,2023,11457.0,8261.0,19718.0
Idaho,18326350.0,4.5,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000,2022,11067.24357,8090.0,19157.0
Illinois,136032200.0,4.5,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600,2018,25652.437112650005,82301.81681035,107954.253923
Illinois,136032200.0,4.5,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000,2019,25375.58713115,82149.0573352,107524.64446635
Illinois,136032200.0,4.5,26000,13000,190600,0,1154700,12100,0,0,0,8533600,213600,90600,2020,23325.89508,70794.70228,94120.59736
Illinois,136032200.0,4.5,36500,18300,214300,48100,822300,800,100,0,0,8657800,169900,59600,2021,21601.72982,75927.85318,97529.583
Illinois,136032200.0,4.5,99600,33400,285400,61500,772900,300,0,0,0,8560300,170200,59600,2023,24831.0,78040.0,102871.0
Illinois,136032200.0,4.5,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500,2022,25020.42989,78732.0,103752.0
Indiana,71242560.0,4.5,3400,4100,64000,0,698200,16100,0,0,0,4881200,168300,73400,2018,29691.337463395,51837.474338745,81528.81180214
Indiana,71242560.0,4.5,5100,4700,68900,0,745100,14500,0,0,0,4887900,175900,70700,2019,30106.03806836,52613.084925735,82719.122994095
Indiana,71242560.0,4.5,7000,5300,75300,0,774400,13400,0,0,0,4916700,183700,70300,2020,27731.13952,48876.60096,76607.74049
Indiana,71242560.0,4.5,10400,7500,88200,41100,587400,800,100,0,0,5149000,151600,61000,2021,29108.04545,49532.35059,78640.39604
Indiana,71242560.0,4.5,26100,12900,119100,56300,576300,300,0,0,0,5166200,156400,58500,2023,32806.0,52403.0,85209.0
Indiana,71242560.0,4.5,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900,2022,55267.38494,40417.0,95684.0
Kansas,30107610.0,4.5,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400,2018,15344.843831935,16845.569143474997,32190.41297541
Kansas,30107610.0,4.5,2300,2100,31700,0,313500,11300,0,0,0,2094100,98800,29500,2019,15230.42932192,16612.09060635,31842.51992827
Kansas,30107610.0,4.5,3100,2400,34000,0,324700,10600,0,0,0,2086800,102900,27700,2020,13697.36151,14156.44037,27853.80189
Kansas,30107610.0,4.5,4500,3300,38300,21400,260900,400,100,0,0,2158100,85900,19900,2021,15402.10097,16290.73317,31692.83414
Kansas,30107610.0,4.5,11300,5600,50400,27900,253500,200,100,0,0,2168600,87400,16100,2023,15274.0,16553.0,31828.0
Kansas,30107610.0,4.5,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600,2022,15144.81028,16189.0,31334.0
Kentucky,43738660.0,4.5,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100,2018,26615.645403885,22927.960831425004,49543.60623531
Kentucky,43738660.0,4.5,1900,1800,38000,0,442000,12000,0,0,0,3309900,129100,38900,2019,26597.158611960003,22813.173201985,49410.331813945006
Kentucky,43738660.0,4.5,2600,2100,41300,0,458800,10900,0,0,0,3281300,133700,36500,2020,25231.89812,21303.90833,46535.80644
Kentucky,43738660.0,4.5,4200,3100,48300,27100,365800,600,0,0,0,3422900,116200,28300,2021,26389.16562,21722.20299,48111.36861
Kentucky,43738660.0,4.5,11600,5600,67100,36900,361200,300,0,0,0,3415000,117600,24400,2023,26621.0,22372.0,48993.0
Kentucky,43738660.0,4.5,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800,2022,26037.93124,22009.0,48047.0
Louisiana,44537460.0,4.5,900,900,19000,0,539200,9500,0,0,0,3034700,158400,32200,2018,19534.185642365,30511.241806325,50045.42744869
Louisiana,44537460.0,4.5,1400,1000,19800,0,554400,8500,0,0,0,3030400,162300,30800,2019,19798.282471305,31562.020770320003,51360.303241625006
